file,class,width,height,format,sha256,group_id
data/raw/commons/limpo/commons-135287167666edc1.jpg,limpo,960,640,JPEG,135287167666edc17d9d6504c6113c2d028540b346f5bdb09e09d8482f63b366,commons-40990261
data/raw/commons/limpo/commons-d9ba4ddeefff2ae4.jpg,limpo,960,540,JPEG,d9ba4ddeefff2ae4768bb524e17d17f168c9a3d6eb4ea828a126069f7c785eae,commons-116088297
data/raw/commons/limpo/commons-00249611f55b278a.jpg,limpo,600,800,JPEG,00249611f55b278a49bcbd73ebc90ea8d0277464143302c6f607f7ed974b761b,commons-43021572
data/raw/commons/sujo/commons-2a561d9081a05b3e.jpg,sujo,330,560,JPEG,2a561d9081a05b3e765ced6afc6d317a8c5d8570a7b53302224280df3321e5fb,commons-31812637
data/raw/commons/limpo/commons-42868b02787d47ac.jpg,limpo,320,560,JPEG,42868b02787d47ac787d46ddc5d084fbf4f75450ed2faac6065ba0093d328843,commons-31812637
data/raw/commons/sujo/commons-c7d2b4a70ef88a8b.jpg,sujo,310,300,JPEG,c7d2b4a70ef88a8b83284de7bd6d667da232ae35f6451cdb0ba7c26e36a3eef5,commons-150161560
data/raw/commons/sujo/commons-144a3641cac36605.jpg,sujo,210,280,JPEG,144a3641cac36605b8289c54e0f8273b5f607c10861a76a862bf0d6d8969b037,commons-135219169
data/raw/commons/sujo/commons-32f07e910f4ec2c8.jpg,sujo,300,900,JPEG,32f07e910f4ec2c8d8679f894952a129ff71a6156ebaa5f424e5af963d3722d6,commons-45061321
data/raw/proprias/limpo/whatsapp-2026-09-25-14h49m38.jpeg,limpo,899,1599,JPEG,5f4b6831df49b19eac510c4b6ddf8f22bca41f3af395686b389e777ad18aa77a,whatsapp-2026-09-25-1449
data/raw/proprias/limpo/whatsapp-2026-09-25-14h50m09.jpeg,limpo,899,1599,JPEG,8f7ae175d5987785a6ac32d7096da25dd12819a7fec255f583abc30c92cc9e7e,whatsapp-2026-09-25-1449
data/raw/proprias/sujo/whatsapp-2026-09-25-14h53m51.jpeg,sujo,899,1599,JPEG,47a482e4d52553e220363d34a4a1089a69e4aa1bab5a81fd91ae4b43af3d02f0,whatsapp-2026-09-25-1449
data/raw/proprias/sujo/whatsapp-2026-09-25-14h53m58.jpeg,sujo,899,1599,JPEG,36728281d556d67da2c810e3e82937a9fbe26a72fef4a2cabd8317e3d87d2ad4,whatsapp-2026-09-25-1449
data/raw/proprias/sujo/whatsapp-2026-09-25-15h06m46.jpeg,sujo,899,1599,JPEG,280fb7368e80ed9349dd6e884eb4faec6843f6ef4d924300b0f45b70d3b0d6ee,whatsapp-2026-09-25-1506
data/raw/proprias/sujo/whatsapp-2026-09-25-15h06m53.jpeg,sujo,899,1599,JPEG,029c9078fa28aa2a374d5a9ce9401fb0bc92c7efcbf9b680c967b2acd3dd1aee,whatsapp-2026-09-25-1506
data/raw/proprias/sujo/whatsapp-2026-09-25-15h06m59.jpeg,sujo,899,1599,JPEG,48fccb93531b311100949c13090e41807a4a5ede18d80a307ca287ae7be8c974,whatsapp-2026-09-25-1506
data/raw/proprias/limpo/limpo14.jpg,limpo,4160,3120,JPEG,31d4ce5b3d0e59ebd96bf243fe0b88ea9448791f2f2bae5aaecea33cf31f6814,local-limpo14
data/raw/proprias/limpo/limpo20.jpg,limpo,4160,3120,JPEG,879ab6f3c4f6932469481f823758c9ab3789f2562c6031d6ed94b23505792319,local-limpo20
data/raw/proprias/sujo/sujo2.jpg,sujo,4000,3000,JPEG,272c7cdfad3793fbacc0b1cb11448d954b957936017b2aabce6b1f5646c28317,local-sujo2
data/raw/proprias/sujo/sujo9.jpg,sujo,4000,3000,JPEG,5322f1d53240e73ba455eae629d59157ce567108840418817a614b79c3211c18,local-sujo9
data/raw/proprias/sujo/sujo12.jpg,sujo,4000,3000,JPEG,e3db5b0d47b815ee2f545830baf8f7d3529d3e4dcf4447a11e22d0016f3a193d,local-sujo12
data/raw/proprias/sujo/sujo18.jpg,sujo,4000,3000,JPEG,fab99a2a717ef4791f2b6c72a69ee6c15f8822f06ebe9762ed2142a03fc9b0b5,local-sujo18
